perf,rt,cond,block,sbj
1,509.9821,1,8,1
1,419.9858,1,8,1
1,389.9856,1,8,1
1,459.9836,3,8,1
1,489.9838,1,8,1
1,539.9812,1,8,1
1,489.981,3,8,1
1,610.0285,1,1,2
1,449.9834,1,1,2
0,419.9855,3,1,2
1,559.9796,3,1,2
1,539.9566,1,1,2
1,479.9839,1,1,2
1,609.9786,3,1,2
1,579.9793,1,1,2
1,619.9777,1,1,2
1,620.0032,1,1,2
0,599.9782,3,1,2
1,589.9783,1,1,2
1,449.9846,2,1,2
1,839.9699,1,1,2
1,489.9807,3,1,2
1,409.9831,1,1,2
1,409.9859,3,1,2
1,469.9846,1,1,2
1,469.9846,3,1,2
0,449.9821,1,1,2
1,599.9807,2,1,2
1,499.9817,1,1,2
1,459.9833,3,1,2
1,559.9818,1,1,2
0,639.9788,1,1,2
1,589.9808,1,1,2
1,459.9847,3,1,2
1,429.9859,1,1,2
1,549.9827,1,1,2
1,659.9766,3,1,2
1,499.982,3,1,2
1,439.9847,1,1,2
1,449.9854,1,1,2
1,579.9804,2,1,2
0,489.9821,1,1,2
1,649.9773,3,1,2
0,529.9816,3,1,2
0,579.9813,2,1,2
1,509.9824,1,1,2
1,489.9832,1,1,2
0,479.9811,3,1,2
1,529.9808,1,1,2
1,579.9807,1,1,2
0,579.9793,3,1,2
1,569.9775,1,1,2
0,709.9749,2,1,2
1,489.981,1,1,2
0,589.9795,3,1,2
1,969.9674,3,1,2
1,529.9824,1,1,2
1,379.986,1,1,2
0,419.9861,3,1,2
1,529.9802,1,1,2
1,569.9794,2,1,2
1,479.982,2,1,2
1,529.9796,2,1,2
1,509.981,3,1,2
1,489.9846,1,1,2
1,529.9819,1,1,2
0,479.9822,3,1,2
1,689.976,1,2,2
1,490.0067,1,2,2
1,409.9851,3,2,2
1,460.0099,1,2,2
1,499.982,1,2,2
0,399.9863,3,2,2
1,450.0086,1,2,2
1,529.9564,1,2,2
1,479.9836,3,2,2
1,660.001,3,2,2
1,499.9823,1,2,2
1,470.0084,1,2,2
1,569.9797,3,2,2
1,479.9836,1,2,2
1,409.9853,1,2,2
1,499.9842,1,2,2
1,529.9813,3,2,2
1,399.9846,2,2,2
1,519.9828,3,2,2
1,429.9843,1,2,2
1,489.9824,1,2,2
1,539.9823,1,2,2
1,489.9838,3,2,2
0,519.9826,2,2,2
1,469.9832,1,2,2
1,509.9805,1,2,2
0,669.9757,3,2,2
1,519.9826,1,2,2
1,549.9814,2,2,2
1,459.9844,3,2,2
1,479.9825,3,2,2
1,519.9792,2,2,2
0,359.9877,1,2,2
1,459.9861,1,2,2
1,439.9844,1,2,2
1,429.9851,3,2,2
1,559.9796,1,2,2
1,449.9843,3,2,2
1,529.983,1,2,2
1,459.9856,1,2,2
1,509.9841,1,2,2
1,529.9833,3,2,2
1,549.9805,2,2,2
1,549.9825,3,2,2
1,639.9769,2,2,2
1,479.985,1,2,2
1,579.9801,3,2,2
1,629.9773,1,2,2
1,599.9785,3,2,2
1,569.9808,1,2,2
0,469.9829,2,2,2
1,669.9787,1,2,2
1,589.9781,2,2,2
1,459.9819,3,2,2
1,499.9806,1,2,2
1,589.9806,3,2,2
1,429.9851,1,2,2
1,539.9801,1,2,2
1,469.9852,3,2,2
1,579.9765,1,2,2
1,609.9786,1,3,2
1,509.9819,3,3,2
0,459.983,1,3,2
1,469.9838,1,3,2
1,470.0092,3,3,2
1,570.0052,1,3,2
1,439.9592,1,3,2
1,489.8603,1,3,2
1,579.9544,3,3,2
0,469.9832,1,3,2
1,579.9723,3,3,2
1,519.9828,2,3,2
1,499.9831,1,3,2
1,399.9855,3,3,2
1,599.9796,2,3,2
0,509.9802,2,3,2
1,629.9781,3,3,2
1,569.9791,1,3,2
1,659.9761,3,3,2
1,709.9763,1,3,2
1,489.9829,1,3,2
1,599.9788,3,3,2
1,559.9818,1,3,2
1,579.9796,2,3,2
1,899.8731,1,3,2
1,639.978,3,3,2
1,499.9834,1,3,2
1,440.1062,3,3,2
1,549.9603,2,3,2
0,399.986,1,3,2
1,699.975,3,3,2
0,479.9833,1,3,2
1,639.9769,1,3,2
1,729.855,2,3,2
1,559.9787,3,3,2
1,629.9784,1,3,2
1,519.982,1,3,2
1,489.9829,3,3,2
1,539.9818,1,3,2
1,559.9809,1,3,2
1,659.9758,3,3,2
1,779.974,1,3,2
1,539.9823,3,3,2
1,599.9777,1,3,2
1,459.9839,1,3,2
1,509.9827,2,3,2
1,609.9789,3,3,2
1,559.9823,1,3,2
1,479.9825,1,3,2
1,689.9765,3,3,2
1,469.9824,1,3,2
1,429.9848,1,3,2
1,409.9862,3,3,2
0,409.9859,1,3,2
1,619.9768,1,3,2
0,509.9816,2,3,2
0,429.9848,3,3,2
0,599.9796,1,3,2
1,499.982,3,3,2
0,659.9744,1,3,2
1,659.9777,1,4,2
1,649.9594,3,4,2
1,530.0054,1,4,2
1,519.956,1,4,2
1,469.9835,1,4,2
0,509.9819,3,4,2
1,560.005,1,4,2
0,459.9587,2,4,2
0,949.9912,3,4,2
0,609.9786,2,4,2
1,829.9714,3,4,2
1,689.9754,1,4,2
0,529.9836,1,4,2
1,539.9812,3,4,2
0,479.982,2,4,2
1,719.9731,2,4,2
1,769.9733,2,4,2
0,619.9785,3,4,2
1,549.9811,3,4,2
1,489.9832,1,4,2
0,589.9781,1,4,2
1,639.9766,1,4,2
1,539.9804,3,4,2
1,509.9813,1,4,2
1,559.9804,1,4,2
1,629.9781,1,4,2
1,509.9833,3,4,2
1,379.9846,1,4,2
1,509.9796,1,4,2
1,459.9825,3,4,2
0,559.9602,1,4,2
1,639.9774,1,4,2
1,729.9732,3,4,2
1,459.9858,3,4,2
1,599.979,1,4,2
1,549.9811,2,4,2
1,489.9821,2,4,2
1,529.9883,3,4,2
1,549.9794,1,4,2
1,619.9785,3,4,2
1,559.9818,1,4,2
1,489.9818,1,4,2
1,469.9826,3,4,2
1,469.9832,1,4,2
1,539.9784,1,4,2
1,469.9826,1,4,2
0,549.9816,3,4,2
0,589.9792,2,4,2
1,719.9753,1,4,2
1,559.9804,3,4,2
1,529.9824,1,4,2
1,489.9835,1,4,2
1,599.9788,3,4,2
1,499.9814,1,4,2
1,589.9797,3,4,2
1,509.9827,1,4,2
1,759.9748,1,4,2
1,729.9721,3,4,2
1,969.9669,1,4,2
1,589.9795,1,4,2
1,569.9789,3,5,2
0,449.9851,2,5,2
0,499.9573,2,5,2
0,539.9804,3,5,2
1,649.9524,1,5,2
1,479.9833,1,5,2
1,469.9832,1,5,2
1,659.9772,3,5,2
1,569.9797,2,5,2
1,509.9572,1,5,2
0,459.9842,3,5,2
1,659.9763,2,5,2
1,499.9834,1,5,2
0,429.984,3,5,2
1,569.9803,2,5,2
1,479.9772,1,5,2
0,659.9761,1,5,2
1,549.9791,3,5,2
1,489.9818,1,5,2
1,679.9758,3,5,2
1,589.957,1,5,2
1,669.9757,1,5,2
0,509.9816,3,5,2
1,579.9807,1,5,2
1,629.9784,3,5,2
1,589.9781,1,5,2
